epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,1183.95,0.31486,0.37454,0.24372,0.8448,0.9937,0.99948,0.9948,0.98325,0.9937,0.99948,0.9948,0.97904,0.24537,0.29466,0.21904,0.78035,0.000599037,0.000599037,0.000599037
90,1197.23,0.32305,0.35464,0.26186,0.83309,0.99365,0.99928,0.99487,0.9845,0.99365,0.99928,0.99487,0.98391,0.23781,0.29647,0.21475,0.77756,0.000589605,0.000589605,0.000589605
91,1210.79,0.3023,0.35359,0.25069,0.83901,0.99401,0.99926,0.9948,0.98539,0.99401,0.99926,0.9948,0.98291,0.23828,0.29249,0.21712,0.77825,0.000580174,0.000580174,0.000580174
92,1224.13,0.29839,0.38047,0.26111,0.82304,0.99409,0.99925,0.99491,0.98552,0.99409,0.99925,0.99491,0.98256,0.2306,0.29488,0.21011,0.77665,0.000570743,0.000570743,0.000570743
93,1237.35,0.30172,0.35061,0.24735,0.84428,0.99397,0.99906,0.99471,0.98784,0.99397,0.99906,0.99471,0.9836,0.23269,0.29183,0.2036,0.7774,0.000561311,0.000561311,0.000561311
94,1250.94,0.30625,0.35753,0.25005,0.83058,0.99306,0.9994,0.99471,0.98622,0.99306,0.9994,0.99471,0.98373,0.23472,0.29039,0.20703,0.77734,0.00055188,0.00055188,0.00055188
95,1264.43,0.28987,0.35563,0.24068,0.82721,0.99379,0.99971,0.99471,0.98688,0.99379,0.99971,0.99471,0.985,0.23651,0.29754,0.207,0.77681,0.000542448,0.000542448,0.000542448
96,1278.12,0.29178,0.34767,0.23564,0.83646,0.99386,0.99969,0.99431,0.98952,0.99386,0.99969,0.99431,0.9827,0.2349,0.29169,0.20524,0.77556,0.000533017,0.000533017,0.000533017
97,1291.95,0.29951,0.36987,0.24145,0.82961,0.99363,0.99969,0.99439,0.99015,0.99363,0.99969,0.99439,0.98169,0.229,0.28908,0.20464,0.77481,0.000523586,0.000523586,0.000523586
98,1305.48,0.31024,0.35705,0.24553,0.84129,0.9938,0.99998,0.99448,0.99068,0.9938,0.99998,0.99448,0.9841,0.22203,0.29455,0.20782,0.77333,0.000514154,0.000514154,0.000514154
99,1319.18,0.29769,0.36149,0.23505,0.83113,0.99393,1,0.99471,0.98777,0.99393,1,0.99471,0.98091,0.22637,0.28975,0.20073,0.77602,0.000504723,0.000504723,0.000504723
100,1332.84,0.28563,0.34756,0.22998,0.8283,0.99359,1,0.99465,0.98861,0.99359,1,0.99465,0.986,0.21845,0.2852,0.19456,0.77396,0.000495291,0.000495291,0.000495291
101,1346.31,0.29761,0.37655,0.22952,0.83477,0.99372,1,0.99481,0.99178,0.99372,1,0.99481,0.98276,0.21142,0.28667,0.19789,0.77151,0.00048586,0.00048586,0.00048586
102,1359.59,0.30066,0.37088,0.23627,0.82864,0.99378,1,0.99476,0.98948,0.99378,1,0.99476,0.98383,0.22364,0.28807,0.19367,0.77517,0.000476429,0.000476429,0.000476429
103,1372.94,0.28663,0.33328,0.23681,0.83439,0.99375,1,0.99467,0.98874,0.99375,1,0.99467,0.98405,0.21789,0.28868,0.1948,0.77393,0.000466997,0.000466997,0.000466997
104,1386.3,0.28912,0.32757,0.23924,0.84258,0.99394,1,0.99476,0.98413,0.99394,1,0.99476,0.98035,0.22708,0.29489,0.19949,0.7775,0.000457566,0.000457566,0.000457566
105,1399.6,0.29271,0.34701,0.21902,0.83831,0.99404,1,0.99494,0.99026,0.99404,1,0.99494,0.98346,0.21845,0.28488,0.19321,0.77429,0.000448134,0.000448134,0.000448134
106,1413.02,0.27103,0.35233,0.22986,0.8283,0.9943,1,0.99487,0.99016,0.9943,1,0.99487,0.98225,0.21471,0.28625,0.18697,0.77377,0.000438703,0.000438703,0.000438703
107,1426.36,0.29755,0.35135,0.23343,0.84159,0.99414,1,0.99472,0.9908,0.99414,1,0.99472,0.98402,0.21513,0.29428,0.19044,0.77308,0.000429272,0.000429272,0.000429272
108,1440.12,0.28468,0.34606,0.22641,0.83577,0.99414,1,0.99458,0.98934,0.99414,1,0.99458,0.98431,0.21577,0.28314,0.19456,0.77321,0.00041984,0.00041984,0.00041984
109,1453.5,0.29541,0.35623,0.23394,0.84028,0.99395,1,0.99466,0.99138,0.99395,1,0.99466,0.98629,0.2152,0.2837,0.20012,0.77246,0.000410409,0.000410409,0.000410409
110,1466.97,0.28028,0.32882,0.23468,0.8304,0.99342,1,0.99476,0.99224,0.99342,1,0.99476,0.987,0.21649,0.28609,0.19646,0.77299,0.000400977,0.000400977,0.000400977
111,1480.49,0.27084,0.3373,0.22538,0.83621,0.99439,1,0.99487,0.99208,0.99439,1,0.99487,0.98528,0.21072,0.2837,0.19036,0.77245,0.000391546,0.000391546,0.000391546
112,1493.88,0.28963,0.36676,0.23024,0.83836,0.99441,1,0.99485,0.99263,0.99441,1,0.99485,0.98537,0.20643,0.28026,0.18799,0.77167,0.000382115,0.000382115,0.000382115
